clip,speaker,language,transcript,chars,duration_sec,rms,clipped_fraction,chars_per_sec,ok,reason
rvc_445718_00001.wav,445718,hi,लिबर ऑफिस draw में सामान्य drawings कैसे करें इस पर spoken tutorial में आपका स्वागत है,86,5.98,0.16061046719551086,0.0,14.4,True,
rvc_445718_00002.wav,445718,hi,स्ट्रिंग फंक्शंस के ट्यूटोरियल में आपका स्वागत है,49,2.98,0.15726228058338165,0.0,16.4,True,
rvc_445718_00003.wav,445718,hi,bash में command line arguments और quoting के spoken tutorial में आपका स्वागत है,80,6.98,0.19207920134067535,0.0,11.5,True,
rvc_445718_00004.wav,445718,hi,नमस्कार दोस्तों,15,2.98,0.18331274390220642,0.0,5.0,False,speech too slow / stalled (5 chars/s)
rvc_445718_00005.wav,445718,hi,यह change password ट्यूटोरियल का तीसरा भाग है इस भाग में हम डेटाबेस में पासवर्ड बदलने जा रहे हैं,96,7.98,0.1655849665403366,0.0,12.0,True,
rvc_445718_00006.wav,445718,hi,लिबर ऑफिस writer में documents को प्रिंट तथा देखने के इस spoken tutorial में आपका स्वागत है,91,5.98,0.14086714386940002,0.0,15.2,True,
rvc_445718_00007.wav,445718,hi,लिबर ऑफिस calc में linking पर spoken tutorial में आपका स्वागत है,64,5.98,0.14662034809589386,0.0,10.7,True,
rvc_445718_00008.wav,445718,hi,लिबर ऑफिस draw में common editing और printing functions common editing and printing functions पर इस spoken tutorial में आपका स्वागत है,134,6.98,0.17193502187728882,0.0,19.2,True,
rvc_445718_00009.wav,445718,hi,यूज़र रजिस्ट्रेशन ट्यूटोरियल के पाँचवे भाग में आपका स्वागत है हम अपनी रजिस्ट्रेशन लॉगिन प्रक्रिया में कुछ अंशों और टुकड़ों को व्यवस्थित करेंगे,142,10.98,0.19459539651870728,0.0,12.9,True,
rvc_445718_00010.wav,445718,hi,how to create a library in koha पर spoken tutorial में आपका स्वागत है,69,5.98,0.18626998364925385,0.0,11.5,True,
rvc_445718_00011.wav,445718,hi,लिबर ऑफिस base पर spoken tutorial में आपका स्वागत है,52,2.98,0.13840506970882416,0.0,17.4,True,
rvc_445718_00012.wav,445718,hi,लिबर ऑफिस impress पर इस spoken tutorial में आपका स्वागत है,58,7.98,0.13885903358459473,0.0,7.3,True,
rvc_445718_00013.wav,445718,hi,लिबर ऑफिस impress में presentation notes पर spoken tutorial में आपका स्वागत है,78,5.98,0.14919184148311615,0.0,13.0,True,
rvc_445718_00014.wav,445718,hi,लिबर ऑफिस impress में custom animation custom animation पर spoken tutorial में आपका स्वागत है,93,6.98,0.1674095094203949,0.0,13.3,True,
rvc_445718_00015.wav,445718,hi,लिबर ऑफिस calc में linking पर spoken tutorial में आपका स्वागत है,64,5.98,0.14715448021888733,0.0,10.7,True,
rvc_445718_00016.wav,445718,hi,लिबर ऑफिस में cells और शीट्स के साथ कार्य पर spoken tutorial में आपका स्वागत है,79,6.98,0.1665458381175995,0.0,11.3,True,
